Brand,Store Number,Store Name,Ownership Type,Street Address,City,State/Province,Country,Postcode,Phone Number,Timezone,Longitude,Latitude
Starbucks,16954-169424,Coral Way & 87th,Company Owned,"2501 SW 87th Avenue, Miami International Airport",Miami,FL,US,33165,(305) 220-5196,GMT-05:00 America/New_York,-80.34,25.75
Starbucks,72483-16199,MIA - Miami Term H Gate 4,Licensed,4200 NW 21st Street,Miami,FL,US,331281984,,GMT-05:00 America/New_York,-80.28,25.8
Starbucks,8446-49399,14795 S. Dixie Hwy.,Company Owned,14795 South Dixie Hwy.,Miami,FL,US,331767927,305-971-3885,GMT-05:00 America/New_York,-80.34,25.63
Starbucks,78026-108542,Eden Roc South Beach,Licensed,4525 Collins Avenue,Miami,FL,US,331403226,305-531-0000,GMT-05:00 America/New_York,-80.12,25.82
Starbucks,76359-95260,Target Miami Dadeland T-1039,Licensed,8350 S Dixie Hwy,Miami,FL,US,331437714,305-668-0262,GMT-05:00 America/New_York,-80.3,25.69
Starbucks,70006-120032,MIA South Term. J7 (Retail),Licensed,4250 NW 20th St,Miami,FL,US,33126,305-869-1530,GMT-05:00 America/New_York,-80.27,25.79
Starbucks,8227-994,7708 North Kendall Drive,Company Owned,"7708 North Kendall Drive, Space B5",Miami,FL,US,331567523,(305) 412-9005,GMT-05:00 America/New_York,-80.32,25.69
Starbucks,75909-101176,Marriott Miami Airport,Licensed,1201 NW LeJune Road,Miami,FL,US,331362315,,GMT-05:00 America/New_York,-80.26,25.78
Starbucks,16298-168844,MIA Int'l Arrivals-Conc F-3rd Floor,Licensed,"2100 NW 42nd Ave, Miami International Airport Concourse F",Miami,FL,US,33126,305-876-0140,GMT-05:00 America/New_York,-80.26,25.79
Starbucks,75787-153144,MIA Terminal D10,Licensed,4200 NW 21st St,Miami,FL,US,331281984,305-869-1530,GMT-05:00 America/New_York,-80.27,25.79
Starbucks,24531-229124,11585 SW 40th Street,Company Owned,11585 SW 40th Street,Miami,FL,US,33165,305-227-6965,GMT-05:00 America/New_York,-80.38,25.73
Starbucks,8273-838,Sunset & 58th Ave.,Company Owned,5796 Sunset Drive,Miami,FL,US,331435332,786-268-8126,GMT-05:00 America/New_York,-80.29,25.7
Starbucks,13238-103927,Kendall Dr & 162nd Ave,Company Owned,16305 SW 88 Street,Miami,FL,US,331964942,305-386-0381,GMT-05:00 America/New_York,-80.46,25.68
Starbucks,19899-197804,167th St & NE 2nd Ave,Company Owned,199 NE 167th Street,Miami,FL,US,33162,305-653-2071,GMT-05:00 America/New_York,-80.2,25.93
Starbucks,9699-98045,SW 120th St & SW 127th Ave,Company Owned,12512 SW 120th St,Miami,FL,US,331869064,305-235-5552,GMT-05:00 America/New_York,-80.4,25.66
Starbucks,23496-214385,Target Miami Flagler T-2848,Licensed,10101 W Flagler St,Miami,FL,US,33174,305-894-2938,GMT-05:00 America/New_York,-80.36,25.77
Starbucks,8323-3056,Bayside-Miami,Company Owned,"401 Biscayne Blvd, #1270",Miami,FL,US,331321924,(305) 350-5772,GMT-05:00 America/New_York,-80.19,25.78
Starbucks,28862-237079,Dolphin Mall Food Court,Company Owned,11401 NW 12th Street,Miami,FL,US,33172,786-512-6780,GMT-05:00 America/New_York,-80.38,25.79
Starbucks,24674-238611,MIA Teriminal D Food Court,Licensed,2100 NW 42nd Ave.,Miami,FL,US,33126,305-569-1851,GMT-05:00 America/New_York,-80.26,25.8
Starbucks,75866-100757,Intercontinental Hotel - Miami,Licensed,100 Chopin Plaza,Miami,FL,US,331314342,305-372-4718,GMT-05:00 America/New_York,-80.19,25.77
Starbucks,75443-79685,Florida International University,Licensed,11200 SW 8th St,Miami,FL,US,331992516,305-348-3426,GMT-05:00 America/New_York,-80.38,25.76
Starbucks,23053-170652,RCI Sunshine Cruise #2,Licensed,"1050 Caribbean Way, Dolphin Mall",Miami,FL,US,331322028,,GMT-05:00 America/New_York,-80.18,25.78
Teavana,28668-250140,Teavana - Dolphin Mall,Company Owned,"11401 NW 12th St., #132, Mary Brickell Village",Miami,FL,US,33172,305-639-2513,GMT-05:00 America/New_York,-80.38,25.79
Starbucks,8506-62200,10th St & South Miami Ave.,Company Owned,"901 South Miami Avenue, 106",Miami,FL,US,331303042,305-372-7922,GMT-05:00 America/New_York,-80.19,25.77
Starbucks,8294-3058,SE 3rd Ave & 1st Street,Company Owned,110 SE 3rd Ave,Miami,FL,US,331322218,(305) 755-9278,GMT-05:00 America/New_York,-80.19,25.77
Starbucks,11485-102045,SW 120th St & SW 137th Ave,Company Owned,12305 SW 137th Ave,Miami,FL,US,331867395,305-378-9248,GMT-05:00 America/New_York,-80.42,25.65
Starbucks,8548-69641,The Falls Mall Shops,Company Owned,8888 SW 136th Street,Miami,FL,US,331765883,305-254-4838,GMT-05:00 America/New_York,-80.34,25.64
Starbucks,11749-104894,Kendall Dr & SW 107 Ave,Company Owned,"8805 SW 107th Ave, Shoppes of Tamiami",Miami,FL,US,331761476,305-271-0282,GMT-05:00 America/New_York,-80.36,25.69
Starbucks,9394-95731,8th St & 142nd Ave,Company Owned,"14200 SW 8th St, Suite 101",Miami,FL,US,331843139,305-221-5370,GMT-05:00 America/New_York,-80.43,25.76
Starbucks,76617-99487,Target Miami T-746,Licensed,15005 SW 88th St,Miami,FL,US,331961314,305-386-1244,GMT-05:00 America/New_York,-80.44,25.69
Starbucks,22267-121004,Bird Ludlam,Company Owned,"6702 Bird Road, #3",Miami,FL,US,33155,3056614698,GMT-05:00 America/New_York,-80.3,25.73
Starbucks,8507-211604,6320 Biscayne Blvd,Company Owned,6320 Biscayne Blvd,Miami,FL,US,33138,3057581619,GMT-05:00 America/New_York,-80.18,25.83
Starbucks,76618-99489,Target Miami T-968,Licensed,7795 SW 40th St,Miami,FL,US,331568119,305-262-5767,GMT-05:00 America/New_York,-80.32,25.68
Starbucks,8296-2321,SW 8 St and SW 84 Ave,Company Owned,"8442 SW 8th Street, Building #1",Miami,FL,US,33144,305-261-2740,GMT-05:00 America/New_York,-80.33,25.76
Starbucks,17010-136621,Miami Calder Medical Library,Licensed,1601 NW 10th Ave,Miami,FL,US,331361019,,GMT-05:00 America/New_York,-80.21,25.79
Starbucks,17086-169744,1690 NE Miami Gardens Drive,Company Owned,1690 NE Miami Gardens Drive,Miami,FL,US,33179,305-354-7414,GMT-05:00 America/New_York,-80.17,25.95
Starbucks,8306-5464,Doral Plaza,Company Owned,"9709-101 NW 41st Street, Bay 29a-b",Miami,FL,US,331782943,305-591-3053,GMT-05:00 America/New_York,-80.35,25.81
Starbucks,19197-137144,Univ of Miami Medical Hospital Lobb,Licensed,1400 NW 12th Ave,MIami,FL,US,331361003,305-689-2125,GMT-05:00 America/New_York,-80.22,25.79
Starbucks,13824-104866,Biscayne Blvd & 30th,Company Owned,2937 Biscayne Blvd,Miami,FL,US,33137,305-573-0727,GMT-05:00 America/New_York,-80.19,25.81
Starbucks,13940-107642,5711 NW 7th St,Company Owned,5711 NW 7th St,Miami,FL,US,331263105,3052658418,GMT-05:00 America/New_York,-80.29,25.78
Starbucks,10901-102594,Bird Rd & 144th Ave,Company Owned,14401 SW 42nd Street,Miami,FL,US,331757818,305-559-1439,GMT-05:00 America/New_York,-80.43,25.73
Starbucks,20628-195824,Target Dadeland South T-2843,Licensed,"7800 SW 104th St, Sunset Park Plaza",Miami,FL,US,33138,305-702-2131,GMT-05:00 America/New_York,-80.19,25.87
Starbucks,8267-1604,Sunset & 87th,Company Owned,8660 SW 72nd Street,Miami,FL,US,331433734,305-412-1483,GMT-05:00 America/New_York,-80.33,25.7
Starbucks,8520-64961,Dadeland Mall Macy's West,Company Owned,7575 SW 88th Street,Miami,FL,US,331733562,305-666-5115,GMT-05:00 America/New_York,-80.31,25.69
Starbucks,17121-177164,MIA North Term D,Licensed,2100 NW 42nd Ave,Miami,FL,US,33126,305-869-1854,GMT-05:00 America/New_York,-80.26,25.79
Starbucks,8238-998,Dixie & Ludlam,Company Owned,6603 South Dixie Hwy,Miami,FL,US,331437919,3056633228,GMT-05:00 America/New_York,-80.3,25.69
Starbucks,47494-250731,JFC @ Jackson Memorial,Licensed,901 NW 17th Street,MIAMI,FL,US,33136,7864829250,GMT-05:00 America/New_York,-80.21,25.79
Starbucks,8866-95192,Red Rd & NW 176th St,Company Owned,17760 NW 57th Ave,Miami,FL,US,330155118,305-8260585,GMT-05:00 America/New_York,-80.29,25.93
Starbucks,21306-157131,Florida International Univ-Labor Ce,Licensed,11212 SW 11th St,Miami,FL,US,33199,,GMT-05:00 America/New_York,-80.38,25.76
Starbucks,8419-1671,Dolphin Mall,Company Owned,"11401 NW 12th St, Unit E-194, Miami International Mall",Miami,FL,US,331726904,305-477-2190,GMT-05:00 America/New_York,-80.38,25.79
Starbucks,19579-196225,Miami International Mall -1st Level,Company Owned,1455 NW 107th Avenue,Miami,FL,US,33172,(305)500-7847,GMT-05:00 America/New_York,-80.37,25.79
Starbucks,76722-98118,Target Miami Central T-2188,Licensed,3111 N Miami Ave,Miami,FL,US,331273717,786-437-0164,GMT-05:00 America/New_York,-80.19,25.81
Starbucks,75786-96371,MIA - Main E Food Ct,Licensed,4200 NW 21st Street,Miami,FL,US,331281984,,GMT-05:00 America/New_York,-80.26,25.77
Starbucks,29828-247324,The Bond At Brickell,Licensed,1080 Brickell  Ave.,Miami,FL,US,33130,,GMT-05:00 America/New_York,-80.19,25.76
Starbucks,8499-61300,47 W. Flagler St,Company Owned,"47 West Flagler Street, The Falls",Miami,FL,US,331301702,305-372-2550,GMT-05:00 America/New_York,-80.19,25.77
Teavana,28579-249825,Teavana - The Falls,Company Owned,"8888 SW 136th ST., #370A",MIAMI,FL,US,33176,786-242-2652,GMT-05:00 America/New_York,-80.34,25.65
Starbucks,13736-107277,2645 SW 22nd St,Company Owned,2645 SW 22nd St.,Miami,FL,US,33145,305-856-4304,GMT-05:00 America/New_York,-80.24,25.75
Starbucks,21216-183784,827 Arthur Godfrey Road,Company Owned,"827 West 41st Street, Unit #2",Miami Beach,FL,US,33140,7865660341,GMT-05:00 America/New_York,-80.13,25.81
Starbucks,8543-54279,10th St. & West Ave.,Company Owned,959 West Avenue,Miami Beach,FL,US,331395201,305-532-3367,GMT-05:00 America/New_York,-80.14,25.78
Starbucks,75553-64359,Marriott South Beach-Miami,Licensed,161 Ocean Dr,Miami Beach,FL,US,331397212,305-536-7700,GMT-05:00 America/New_York,-80.13,25.77
Starbucks,8557-72544,416 Lincoln Rd.,Company Owned,416 Lincoln Rd.,Miami Beach,FL,US,331393003,305-673-9684,GMT-05:00 America/New_York,-80.13,25.79
Starbucks,8242-629,16th & Alton,Company Owned,"1570 Alton Road, Suite A",Miami Beach,FL,US,331393344,305-538-0958,GMT-05:00 America/New_York,-80.14,25.79
Starbucks,10869-101766,1201 Washington Ave,Company Owned,1201 Washington Ave,Miami Beach,FL,US,331394613,305-604-0479,GMT-05:00 America/New_York,-80.13,25.78
Starbucks,76450-97602,Target Miami Beach T-1038,Licensed,14075 Biscayne Blvd,Miami Beach,FL,US,331811629,305-944-5341,GMT-05:00 America/New_York,-80.16,25.91
Starbucks,13007-96665,Lincoln & Pennsylvania,Company Owned,601 Lincoln Rd,Miami Beach,FL,US,331392915,305-534-4613,GMT-05:00 America/New_York,-80.13,25.79
Starbucks,8251-1325,Lincoln & Meridian,Company Owned,749 Lincoln Road,Miami Beach,FL,US,331392813,(305) 538-5906,GMT-05:00 America/New_York,-80.14,25.79
